local_authority,median_income,region,population,suicides,unemployment_rate,worthwhile,living_score
Ipswich,27049.2537313432,East of England,138480,12,4.62085545,8,25.099
King's Lynn and West Norfolk,26547.5,East of England,151945,20,3.00499593,8.07,23.673
Luton,26050.7462686567,East of England,214658,8,5.46970896,7.85,22.093
Maldon,31807,East of England,63975,10,3.83721485,7.76,17.556
Mid Suffolk,30847,East of England,101543,12,2.80384068,7.9,22.648
North Hertfordshire,35530,East of England,133321,10,3.27045308,7.82,13.089
North Norfolk,25862.6865671641,East of England,104067,12,2.5043095500000003,7.75,30.109
Norwich,25300,East of England,140353,22,5.032945450000001,7.66,19.993
Peterborough,26728.3582089552,East of England,198914,20,4.55324406,7.8,17.397
Rochford,33136.0902255639,East of England,86209,8,2.52680583,8.31,6.551
South Cambridgeshire,37144.1666666666,East of England,156705,17,2.10566828,8.03,13.177
South Norfolk,30164.6616541353,East of England,135471,12,2.99268131,8.05,22
Southend-on-Sea,29056.626506024,East of England,181808,18,4.23361244,7.92,17.07
St Albans,41569.92481203,East of England,147095,14,3.23093896,7.85,11.486
St Edmundsbury,30402.9925373134,East of England,NA,NA,NA,NA,NA
Stevenage,31726.3157894736,East of England,87739,8,3.51003829,8.05,11.578
Suffolk Coastal,30780,East of England,NA,NA,NA,NA,NA
Tendring,25267.3202614379,East of England,144705,20,5.27206668,7.81,19.782
Three Rivers,37924.6987951807,East of England,92641,8,3.2116747199999995,8.03,9.181
Thurrock,31301.4563106796,East of England,170394,10,4.30807886,7.86,16.481
Uttlesford,35913,East of England,87684,6,2.44233575,8.22,14.464
Watford,34203.0973451327,East of England,96675,12,3.9667743800000004,7.89,22.088
Waveney,25323,East of England,NA,NA,NA,NA,NA
Welwyn Hatfield,33672.891566265,East of England,122274,10,3.33052275,8.05,12.436
Barking and Dagenham,26178.5555756862,London,210711,8,6.26891149,7.95,29.103
Barnet,31512.3214285714,London,387803,18,4.5334244,7.86,24.662
Bexley,34185,London,246124,18,3.8497939299999997,7.79,19.754
Brent,30136.5451127819,London,329102,28,5.9005905400000005,7.89,28.694
Bromley,38450.7462686567,London,329391,22,3.77022567,7.42,18.37
Camden,34692.1686746987,London,253361,30,5.048441120000001,7.49,33.469
City of London,53247,London,7654,1,NA,NA,38.972
Croydon,33161.8411214953,London,384837,42,6.59860367,7.58,26.027
Ealing,32581.3114754098,London,342736,33,4.9182953000000005,7.84,30.34
